bucket,observations,avg_range_points,median_range_points,avg_abs_close_to_open_points,median_abs_close_to_open_points,avg_volume
113,2185,9.6549,7.75,4.8784,2.75,963.46
114,2185,9.3104,7.75,4.7221,3.0,965.21
115,2185,10.1161,8.25,4.9603,3.0,1057.11
116,2185,10.0265,8.25,5.0497,3.0,1007.69
117,2185,9.3781,7.75,4.4843,3.0,953.28
118,2185,9.476,7.75,4.7603,3.0,949.45
119,2185,9.3039,7.5,4.5373,2.75,982.96
120,2185,11.3979,9.25,5.5296,3.5,1259.58
121,2185,10.303,8.5,5.1457,3.25,1077.56
122,2185,9.9445,8.25,4.8689,3.0,1022.5
123,2185,9.5608,7.75,4.6547,3.0,978.16
124,2185,9.369,7.75,4.454,3.0,982.3
125,2185,10.265,8.25,4.9677,3.25,1065.6
126,2185,9.9509,8.0,5.0987,3.0,982.74
127,2185,9.5556,7.75,4.8795,3.0,952.58
128,2185,9.381,7.5,4.6768,3.0,925.18
129,2185,8.9656,7.25,4.4355,2.75,890.49
130,2185,9.8597,8.0,4.895,3.25,993.16
131,2185,9.4001,7.75,4.7159,2.75,928.74
132,2185,9.3811,7.5,4.7602,3.0,947.19
133,2185,9.1037,7.25,4.4386,2.75,913.34
134,2185,9.0332,7.25,4.426,2.75,904.72
135,2185,9.9245,8.25,4.8368,3.0,1018.45
136,2185,9.4336,7.75,4.7252,3.0,932.1
137,2185,9.1579,7.5,4.4695,2.75,894.3
138,2185,8.9975,7.25,4.4693,2.75,880.19
139,2185,8.5481,7.0,4.1516,2.5,838.77
140,2185,9.9755,8.25,5.0312,3.0,990.06
141,2185,9.2592,7.5,4.6728,2.75,901.48
142,2185,8.9843,7.5,4.464,2.75,892.12
143,2185,8.6412,7.0,4.2898,2.75,849.54
144,2185,8.4947,7.0,4.2038,2.75,837.17
145,2185,9.1621,7.5,4.5063,2.75,914.08
146,2185,9.2153,7.25,4.6308,3.0,904.76
147,2185,8.7457,7.25,4.3367,2.75,854.23
148,2185,8.6622,7.0,4.2316,2.75,849.17
149,2185,8.1066,6.75,3.9208,2.5,844.19
150,2185,10.6713,8.75,5.2309,3.5,1125.79
151,2185,9.6605,8.0,4.8588,3.25,957.45
152,2185,9.1863,7.5,4.6559,2.75,901.82
153,2185,8.7653,7.0,4.3914,2.75,849.19
154,2185,8.487,7.0,4.1162,2.75,821.59
155,2185,9.2328,7.5,4.5342,3.0,896.3
156,2185,8.9685,7.25,4.4931,2.75,851.12
157,2185,8.7285,7.0,4.3558,2.5,811.63
158,2185,8.4808,6.75,4.2773,2.5,807.96
159,2185,8.2233,6.75,4.0684,2.5,781.4
160,2185,9.1876,7.25,4.6609,2.75,861.2
161,2185,8.5937,7.0,4.2189,2.75,806.02
162,2185,8.4446,7.0,4.2063,2.5,789.23
163,2185,8.1638,6.5,4.0775,2.25,756.14
164,2185,7.8787,6.5,3.8358,2.5,735.22
165,2185,9.1279,7.5,4.6025,2.75,860.45
166,2185,8.6878,7.0,4.367,2.75,799.81
167,2185,8.3822,6.75,4.2143,2.75,768.53
168,2185,8.1942,6.75,3.9994,2.5,756.13
169,2185,7.9938,6.5,3.9875,2.5,748.1
170,2185,8.9846,7.25,4.4308,2.75,837.28
171,2185,8.6665,6.75,4.3636,2.5,800.52
172,2185,8.3322,6.75,4.1888,2.5,769.07
173,2185,8.2013,6.5,4.2259,2.5,759.32
174,2185,7.9712,6.5,3.9335,2.5,745.54
175,2185,8.6489,7.0,4.3243,2.75,794.74
176,2185,8.2396,6.75,4.0865,2.5,754.92
177,2185,8.083,6.5,4.0527,2.5,726.93
178,2185,7.9248,6.5,3.8986,2.5,719.09
179,2185,7.4947,6.0,3.5626,2.25,703.35
180,2185,9.3703,7.5,4.7105,3.0,891.16
181,2185,8.7712,7.0,4.3692,2.75,807.87
182,2185,8.2618,6.75,4.0762,2.5,773.81
183,2185,8.2178,6.5,4.0548,2.25,740.82
184,2185,7.8061,6.25,3.9247,2.25,711.31
185,2185,8.5485,6.75,4.1651,2.5,770.36
186,2185,8.3446,6.75,4.182,2.5,730.21
187,2185,8.0424,6.25,3.9609,2.5,713.61
188,2185,7.9346,6.25,3.9975,2.25,693.88
189,2185,7.5019,6.0,3.7501,2.5,672.22
190,2185,8.4801,6.75,4.2864,2.75,753.77
191,2185,8.1013,6.5,4.049,2.5,714.32
192,2185,7.9241,6.25,3.8881,2.25,697.37
193,2185,7.7703,6.25,3.8398,2.5,679.82
194,2185,7.5138,6.0,3.7019,2.25,681.56
195,2185,8.6003,6.75,4.3938,2.75,785.07
196,2185,8.1356,6.25,4.0494,2.5,726.28
197,2185,7.9164,6.25,3.9875,2.5,700.31
198,2185,7.8738,6.25,3.8366,2.5,697.52
199,2185,7.4613,6.0,3.6902,2.25,670.07
200,2185,8.6953,6.75,4.4023,2.5,776.24
201,2185,8.1714,6.5,4.0827,2.5,719.78
202,2185,8.0848,6.25,4.1775,2.5,713.29
203,2185,7.7489,6.25,3.9209,2.25,686.46
204,2185,7.3621,5.75,3.5691,2.25,668.53
205,2185,8.0211,6.25,3.9787,2.5,733.48
206,2185,7.9849,6.25,3.9276,2.25,702.96
207,2185,7.5947,6.0,3.7577,2.25,688.95
208,2185,7.48,6.0,3.708,2.25,667.64
209,2185,7.4248,5.75,3.5412,2.25,667.85
210,2185,9.82,7.5,4.9471,3.0,888.92
211,2185,9.2277,7.25,4.755,3.0,811.79
212,2185,9.4299,7.25,4.791,2.75,856.76
213,2185,8.3913,6.5,4.2946,2.75,758.68
214,2185,7.8919,6.25,3.869,2.25,719.03
215,2185,8.5977,6.75,4.2509,2.5,770.49
216,2185,8.6265,6.75,4.4963,2.75,751.49
217,2185,8.0789,6.5,4.0223,2.5,706.38
218,2185,7.8579,6.25,3.837,2.5,685.8
219,2185,7.5279,6.0,3.6097,2.25,669.15
220,2185,8.5986,6.75,4.3608,2.75,750.58
221,2185,8.0289,6.5,4.0153,2.5,708.35
222,2185,7.7661,6.25,3.9579,2.5,675.11
223,2185,7.5894,6.0,3.7584,2.25,653.98
224,2185,7.2704,5.75,3.5746,2.25,641.67
225,2185,8.3851,6.75,4.1221,2.5,756.68
226,2185,8.1517,6.5,4.1144,2.5,710.6
227,2185,7.8367,6.25,3.8157,2.25,685.52
228,2185,7.8027,6.25,3.8587,2.25,669.17
229,2185,7.6665,6.0,3.7327,2.0,652.66
230,2185,8.5381,6.75,4.2193,2.75,749.16
231,2185,8.1493,6.5,4.1358,2.5,707.24
232,2185,8.0034,6.25,3.9754,2.25,690.08
233,2185,7.7363,6.0,3.9256,2.25,662.89
234,2185,7.3304,5.75,3.5391,2.25,648.57
235,2185,8.1628,6.5,4.1249,2.5,705.22
236,2185,7.8302,6.25,3.9654,2.25,669.52
237,2185,7.6904,6.0,3.7569,2.25,658.9
238,2185,7.8915,5.75,4.1355,2.25,672.12
239,2185,7.491,5.75,3.6732,2.25,650.39
240,2185,9.5103,7.5,4.8752,3.0,883.15
241,2185,8.3819,6.75,4.2669,2.5,754.44
242,2185,8.1859,6.5,4.0526,2.5,713.68
243,2185,7.835,6.0,3.8719,2.25,679.31
244,2185,7.5632,6.0,3.6629,2.25,651.68
245,2185,8.2745,6.5,3.9983,2.5,724.9
246,2185,8.1408,6.25,4.2126,2.5,684.65
247,2185,7.8355,6.25,3.9563,2.25,670.84
248,2185,7.6088,6.0,3.7696,2.25,653.15
249,2185,7.2908,5.75,3.5795,2.0,638.57
250,2185,8.3581,6.5,4.1848,2.5,742.58
251,2185,7.7584,6.25,3.855,2.25,682.04
252,2185,7.654,6.25,3.6856,2.25,658.92
253,2185,7.4613,5.75,3.6318,2.0,648.35
254,2185,7.1789,5.5,3.3422,2.0,627.44
255,2185,8.1414,6.5,3.9998,2.5,724.83
256,2185,8.112,6.25,4.0541,2.25,687.73
257,2185,7.7174,6.0,3.7903,2.25,657.48
258,2185,7.6692,6.0,3.8863,2.25,663.0
259,2185,7.1727,5.75,3.49,2.0,640.32
260,2185,8.2755,6.25,4.1871,2.5,725.92
261,2185,7.8232,6.25,3.8618,2.25,674.7
262,2185,7.5064,6.0,3.6913,2.25,656.85
263,2185,7.3364,5.75,3.6245,2.25,637.8
264,2185,7.2071,5.75,3.5079,2.0,624.81
265,2185,7.9002,6.25,3.9674,2.5,687.48
266,2185,7.5085,6.0,3.6772,2.25,650.6
267,2185,7.3708,5.75,3.6585,2.0,637.74
268,2185,7.2612,5.75,3.5846,2.25,624.35
269,2185,7.0005,5.5,3.2473,2.0,613.91
270,2185,11.9502,8.5,5.9759,3.25,1093.94
271,2185,10.108,7.5,5.1279,3.0,937.53
272,2185,9.5854,7.25,4.7153,2.75,897.07
273,2185,8.9556,6.75,4.4395,2.5,823.65
274,2185,8.468,6.5,4.0105,2.5,786.75
275,2185,9.16,7.0,4.6527,2.75,836.38
276,2185,8.883,6.75,4.4997,2.75,796.01
277,2185,8.6953,6.5,4.4465,2.5,763.36
278,2185,8.1332,6.5,3.9954,2.5,731.73
279,2185,7.9402,6.0,3.8041,2.25,710.86
280,2185,8.8568,6.75,4.2842,2.75,796.83
281,2185,8.3915,6.5,4.1983,2.5,740.21
282,2185,8.1462,6.5,3.9293,2.5,727.87
283,2185,7.8883,6.25,3.9388,2.5,688.35
284,2185,7.6562,6.0,3.7662,2.25,689.04
285,2185,8.8727,7.0,4.5207,2.75,826.55
286,2185,8.4169,6.75,4.1391,2.5,761.85
287,2185,7.923,6.25,3.8059,2.25,696.76
288,2185,8.0037,6.25,4.0254,2.25,706.77
289,2185,7.6962,6.0,3.7616,2.25,690.83
290,2185,8.6916,6.75,4.2495,2.5,766.46
291,2185,8.1154,6.5,4.016,2.5,717.52
292,2185,8.1332,6.5,4.0236,2.5,705.05
293,2185,7.8006,6.25,3.908,2.5,690.01
294,2185,7.5281,6.0,3.5985,2.25,670.04
295,2185,8.343,6.5,4.1354,2.5,728.09
296,2185,7.905,6.25,3.9333,2.25,697.41
297,2185,8.0126,6.25,4.0255,2.5,699.33
298,2185,7.8469,6.0,3.7164,2.25,698.17
299,2185,7.3969,5.75,3.4727,2.0,675.35
300,2185,9.9045,7.75,5.0423,3.0,913.7
301,2184,8.8329,6.75,4.5686,2.75,790.59
302,2184,8.3905,6.5,4.1442,2.5,770.63
303,2184,8.1905,6.25,3.9576,2.5,744.11
304,2184,7.7448,6.0,3.7367,2.25,714.76
305,2184,8.9464,6.75,4.4948,2.625,791.62
306,2184,8.5776,6.5,4.1482,2.5,766.75
307,2184,8.3933,6.25,4.0543,2.5,729.93
308,2184,7.993,6.0,3.9637,2.25,698.25
309,2184,7.8012,6.0,3.6763,2.25,691.43
310,2184,8.7672,6.75,4.2759,2.5,802.1
311,2183,8.2939,6.25,4.0475,2.5,738.19
312,2183,8.436,6.25,4.1875,2.5,748.84
313,2183,8.0796,6.25,3.9781,2.25,734.13
314,2183,7.735,6.0,3.7154,2.25,713.6
315,2183,8.8631,6.75,4.4307,2.5,811.07
316,2183,8.2533,6.5,4.0194,2.5,740.94
317,2183,8.2256,6.25,4.1688,2.5,710.88
318,2183,8.2186,6.25,4.1064,2.25,721.44
319,2183,7.7099,5.75,3.7702,2.25,697.5
320,2183,8.9803,7.0,4.3872,2.75,808.36
