exit_mode,hold_bars,stop_points,risk_reward,trades,net_total_points,net_total_dollars,net_avg_points,net_avg_dollars,win_rate,avg_win_points,avg_loss_points,median_net_points,profit_factor,max_drawdown_points,max_drawdown_dollars,max_recovery_trades
bracket_only,60,25.0,2.5,963,160.0,3200.0,0.1661,3.32,0.3219,56.4016,-26.5306,-25.0,1.0092,-1114.0,-22280.0,638
bracket_only,15,15.0,2.0,963,55.0,1100.0,0.0571,1.14,0.3603,31.8696,-17.8632,-15.0,1.005,-944.5,-18890.0,531
bracket_only,15,15.0,2.5,963,15.5,310.0,0.0161,0.32,0.324,39.0537,-18.6932,-15.0,1.0013,-863.5,-17270.0,521
bracket_only,15,25.0,2.5,963,-12.0,-240.0,-0.0125,-0.25,0.3479,63.9201,-34.1166,-25.0,0.9994,-2360.25,-47205.0,537
bracket_with_time_stop,15,15.0,1.5,963,-265.5,-5310.0,-0.2757,-5.51,0.4071,20.5395,-14.5912,-15.0,0.9681,-717.0,-14340.0,512
bracket_only,60,15.0,1.5,963,-314.5,-6290.0,-0.3266,-6.53,0.3915,22.6419,-15.1032,-15.0,0.9645,-712.5,-14250.0,529
bracket_with_time_stop,60,15.0,1.5,963,-307.75,-6155.0,-0.3196,-6.39,0.3977,21.78,-14.9129,-15.0,0.9644,-712.5,-14250.0,511
bracket_only,15,25.0,1.5,963,-632.75,-12655.0,-0.6571,-13.14,0.432,40.1046,-31.6568,-25.0,0.9635,-1566.5,-31330.0,515
bracket_with_time_stop,15,10.0,2.5,963,-284.5,-5690.0,-0.2954,-5.91,0.3022,21.8935,-9.9188,-10.0,0.9573,-645.5,-12910.0,458
bracket_only,60,10.0,2.5,963,-448.0,-8960.0,-0.4652,-9.3,0.2741,24.8352,-10.0207,-10.0,0.936,-660.0,-13200.0,571
bracket_with_time_stop,60,10.0,2.5,963,-452.75,-9055.0,-0.4701,-9.4,0.2793,24.0344,-9.9683,-10.0,0.9346,-660.0,-13200.0,548
bracket_only,15,15.0,1.5,963,-641.0,-12820.0,-0.6656,-13.31,0.4008,23.6846,-16.9554,-15.0,0.9345,-819.25,-16385.0,888
bracket_with_time_stop,60,10.0,2.0,963,-497.25,-9945.0,-0.5164,-10.33,0.3198,19.6006,-9.976,-10.0,0.9239,-809.75,-16195.0,870
bracket_with_time_stop,15,10.0,2.0,963,-506.5,-10130.0,-0.526,-10.52,0.3302,18.5118,-9.9274,-10.0,0.9208,-817.5,-16350.0,870
bracket_only,60,10.0,2.0,963,-603.5,-12070.0,-0.6267,-12.53,0.3146,19.8507,-10.0277,-10.0,0.9088,-855.25,-17105.0,870
bracket_only,15,10.0,2.0,963,-768.75,-15375.0,-0.7983,-15.97,0.3209,21.0825,-11.1365,-10.0,0.8944,-1014.25,-20285.0,888
bracket_only,15,10.0,2.5,963,-898.0,-17960.0,-0.9325,-18.65,0.2856,26.1236,-11.7471,-10.0,0.8889,-1322.0,-26440.0,888
bracket_with_time_stop,60,10.0,1.5,963,-791.75,-15835.0,-0.8222,-16.44,0.3676,14.9223,-9.9741,-10.0,0.8697,-1020.0,-20400.0,778
bracket_only,60,10.0,1.5,963,-795.5,-15910.0,-0.8261,-16.52,0.3676,14.9626,-10.0037,-10.0,0.8694,-1020.0,-20400.0,778
bracket_with_time_stop,15,10.0,1.5,963,-786.75,-15735.0,-0.817,-16.34,0.3738,14.4069,-9.9223,-10.0,0.8683,-1006.75,-20135.0,778
bracket_only,15,10.0,1.5,963,-1088.5,-21770.0,-1.1303,-22.61,0.3676,15.5833,-10.8456,-10.0,0.8352,-1303.0,-26060.0,778
