eval_mnq,funded_mnq,target,joint_payout_rate,avg_lifecycle_days,median_days_when_paid,avg_payout_when_paid,mean_net_252,median_net_252,p10_net_252,profit_prob_252,ruin_prob_252,mean_payouts_252,mean_net_60,profit_prob_60,any_payout_60,mean_net_90,profit_prob_90,any_payout_90,mean_net_180,profit_prob_180,any_payout_180
5,7,500,0.2310549777117385,20.89115898959881,33.0,1021.0909601286124,1475.575929599988,1281.2309999999788,-573.8544000000048,0.8058333333333333,0.05583333333333333,2.502,193.24861169999818,0.40116666666666667,0.4043333333333333,395.8091471999965,0.588,0.6193333333333333,1019.2032344999917,0.744,0.892
5,7,1000,0.2087667161961367,21.98959881129272,34.0,1258.2548871886054,1624.0293140999865,1479.3938999999812,-551.3076000000083,0.8248333333333333,0.071,2.1241666666666665,181.80834239999842,0.32916666666666666,0.32916666666666666,422.4296306999963,0.5378333333333334,0.5383333333333333,1088.4308093999907,0.7968333333333333,0.8345
5,7,1500,0.1760772659732541,23.25111441307578,33.5,1580.664155696194,1649.9191757999868,1762.7444999999802,-990,0.8235,0.09433333333333334,1.6906666666666668,178.28536079999873,0.2775,0.2775,425.8074950999968,0.44916666666666666,0.44916666666666666,1111.5863216999912,0.7426666666666667,0.7446666666666667
5,7,2000,0.14970282317979197,24.39524517087667,34,1800.0,1450.725,1080.0,-990,0.7668333333333334,0.1185,1.3573333333333333,125.28,0.229,0.229,303.51,0.35433333333333333,0.35433333333333333,944.565,0.6615,0.6618333333333334
5,8,500,0.21656760772659733,20.676820208023774,32,1127.1047711835436,1572.6501984000226,1395.043200000014,-603.8064000000004,0.8071666666666667,0.06433333333333334,2.358,224.57699280000276,0.3878333333333333,0.3898333333333333,437.4808200000061,0.5723333333333334,0.5951666666666666,1089.0974400000155,0.7451666666666666,0.8693333333333333
5,8,1000,0.20208023774145617,21.424962852897472,33.0,1326.8099647058962,1739.6876208000267,1575.8568000000387,-498.6431999999661,0.837,0.07083333333333333,2.1175,209.39312640000205,0.32966666666666666,0.32966666666666666,466.9994760000063,0.5363333333333333,0.5365,1175.334626400018,0.8056666666666666,0.8373333333333334
5,8,1500,0.18090638930163447,22.25408618127786,33,1604.7624640657257,1850.6618256000281,1943.7264000000441,-990,0.8423333333333334,0.09816666666666667,1.8115,203.97898320000184,0.29183333333333333,0.29183333333333333,476.1588888000062,0.4691666666666667,0.4691666666666667,1242.7273896000186,0.7673333333333333,0.7688333333333334
5,8,2000,0.15118870728083209,23.346582466567607,33,1800.0,1569.015,1080.0,-990,0.7805,0.12383333333333334,1.443,151.905,0.24666666666666667,0.24666666666666667,367.32,0.3888333333333333,0.3888333333333333,1054.92,0.6831666666666667,0.6833333333333333
5,10,500,0.17644873699851413,19.88632986627043,35,1181.561002105253,1166.7108839999812,968.750999999957,-990,0.725,0.116,1.9416666666666667,114.94121399999781,0.315,0.316,284.9160749999951,0.489,0.507,791.0820389999872,0.666,0.8108333333333333
5,10,1000,0.1664190193164933,20.415304606240714,36.0,1363.392602678557,1313.3215289999764,1165.9139999999666,-990,0.757,0.12066666666666667,1.7756666666666667,114.35899499999813,0.2801666666666667,0.2801666666666667,313.22275499999427,0.4771666666666667,0.47733333333333333,886.4050709999842,0.7371666666666666,0.7821666666666667
